epoch,train_loss,val_loss,IoU,IoU_bg,Precision,Recall,F1,Accuracy,grad_norm,lr
1,0.580208,0.557244,0.029869,0.985338,0.038454,0.117999,0.058005,0.985345,0.2462,9.97e-05
2,0.532918,0.537185,0.043593,0.990024,0.064408,0.118855,0.083543,0.990029,0.2168,9.89e-05
3,0.504202,0.523458,0.041617,0.984530,0.051727,0.175555,0.079908,0.984541,0.2112,9.76e-05
4,0.475891,0.510541,0.052574,0.992656,0.094034,0.106538,0.099896,0.992659,0.2374,9.57e-05
5,0.450843,0.501659,0.048262,0.990989,0.074919,0.119437,0.092079,0.990993,0.2731,9.33e-05
6,0.424480,0.495022,0.053586,0.992794,0.097221,0.106659,0.101721,0.992797,0.3168,9.05e-05
7,0.395697,0.492221,0.044039,0.994348,0.110904,0.068073,0.084363,0.994350,0.3805,8.72e-05
8,0.367474,0.489528,0.039034,0.994908,0.123061,0.054076,0.075135,0.994909,0.4530,8.35e-05
9,0.342375,0.486941,0.041457,0.995275,0.156139,0.053428,0.079614,0.995276,0.4968,7.94e-05
10,0.322205,0.491163,0.024647,0.995744,0.166191,0.028125,0.048108,0.995744,0.5112,7.50e-05
11,0.308910,0.485230,0.032920,0.995481,0.153492,0.040222,0.063741,0.995482,0.5310,7.03e-05
12,0.299947,0.487381,0.026187,0.995765,0.178252,0.029782,0.051037,0.995765,0.5209,6.55e-05
13,0.285246,0.486529,0.026854,0.995981,0.265982,0.029003,0.052303,0.995981,0.5256,6.04e-05
14,0.274436,0.487598,0.023851,0.995900,0.210610,0.026193,0.046591,0.995901,0.5134,5.52e-05
15,0.265407,0.487325,0.021936,0.995938,0.216978,0.023822,0.042930,0.995938,0.4972,5.00e-05
16,0.261360,0.485858,0.024312,0.995977,0.250946,0.026215,0.047470,0.995977,0.4987,4.48e-05
17,0.259272,0.485021,0.023877,0.995884,0.204363,0.026324,0.046641,0.995885,0.5044,3.96e-05
18,0.249883,0.486853,0.022816,0.995976,0.242339,0.024568,0.044613,0.995976,0.4768,3.45e-05
19,0.247196,0.488849,0.019048,0.995964,0.212400,0.020495,0.037383,0.995964,0.4833,2.97e-05
20,0.244775,0.489480,0.017770,0.995988,0.217950,0.018980,0.034920,0.995988,0.4555,2.50e-05
21,0.245648,0.490842,0.015604,0.996080,0.282767,0.016247,0.030728,0.996081,0.4670,2.06e-05
22,0.240923,0.486273,0.021943,0.995966,0.231455,0.023668,0.042944,0.995966,0.4509,1.65e-05
23,0.233758,0.488725,0.017978,0.996012,0.235797,0.019090,0.035321,0.996013,0.4582,1.28e-05
24,0.237793,0.490420,0.015716,0.996051,0.251171,0.016488,0.030945,0.996051,0.4681,9.55e-06
25,0.236936,0.489247,0.017137,0.996018,0.233781,0.018157,0.033697,0.996018,0.4458,6.70e-06
26,0.233131,0.490797,0.014592,0.996056,0.247245,0.015270,0.028763,0.996057,0.4456,4.32e-06
27,0.230771,0.489273,0.017120,0.996035,0.247890,0.018058,0.033664,0.996036,0.4456,2.45e-06
28,0.233976,0.489083,0.017002,0.996017,0.232239,0.018014,0.033435,0.996017,0.4337,1.09e-06
29,0.231164,0.489914,0.015948,0.996037,0.240188,0.016796,0.031396,0.996037,0.4242,2.74e-07
30,0.231141,0.488254,0.018168,0.995978,0.214415,0.019463,0.035687,0.995978,0.4357,0.00e+00
