IoU,IoU_bg,Precision,Recall,F1,Accuracy,TP,FP,FN,TN
0.0,0.9963378906225676,0.0,0.0,0.0,0.9963378906225676,0,0,15,4081
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9890136718725855,0.0,0.0,0.0,0.9890136718725855,0,0,45,4051
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9531249999976731,0.0,0.0,0.0,0.9531249999976731,0,0,192,3904
0.0,0.997802734372564,0.0,0.0,0.0,0.997802734372564,0,0,9,4087
0.0,0.9411621093727023,0.0,0.0,0.0,0.9411621093727023,0,223,18,3855
0.12804171494711447,0.6116129032242281,0.14882154882054666,0.4783549783446243,0.2270159183091947,0.6325683593734557,221,1264,241,2370
0.10400866738782222,0.7932499999980169,0.11608222490790711,0.49999999997395833,0.18842001656502894,0.7980957031230516,96,731,96,3173
0.0,0.9667968749976397,0.0,0.0,0.0,0.9667968749976397,0,10,126,3960
0.0,0.9587402343726593,0.0,0.0,0.0,0.9587402343726593,0,169,0,3927
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9948730468725712,0.0,0.0,0.0,0.9948730468725712,0,21,0,4075
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9890136718725855,0.0,0.0,0.0,0.9890136718725855,0,0,45,4051
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9956054687475694,0.0,0.0,0.0,0.9956054687475694,0,0,18,4078
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9611816406226534,0.0,0.0,0.0,0.9611816406226534,0,0,159,3937
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.997802734372564,0.0,0.0,0.0,0.997802734372564,0,0,9,4087
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.9999999999975586,0.0,0.0,0.0,0.9999999999975586,0,0,0,4096
0.0,0.99121093749758,0.0,0.0,0.0,0.99121093749758,0,0,36,4060
