epoch,train_loss,val_loss,IoU,IoU_bg,Precision,Recall,F1,Accuracy,grad_norm,lr
1,0.501583,0.486885,0.024661,0.991241,0.041156,0.057962,0.048134,0.991243,0.1619,5.00e-04
2,0.468897,0.484182,0.022696,0.982598,0.028086,0.105748,0.044384,0.982605,0.2758,4.98e-04
3,0.463156,0.493313,0.008727,0.995746,0.073656,0.009803,0.017303,0.995747,0.3041,4.96e-04
4,0.456974,0.491333,0.011476,0.995755,0.094211,0.012899,0.022691,0.995756,0.3624,4.92e-04
5,0.454931,0.472071,0.037043,0.991374,0.060681,0.086833,0.071439,0.991377,0.4086,4.88e-04
6,0.450970,0.480177,0.026258,0.995312,0.112867,0.033087,0.051172,0.995313,0.3969,4.82e-04
7,0.445363,0.486797,0.020216,0.976363,0.023458,0.127615,0.039631,0.976374,0.4245,4.76e-04
8,0.443506,0.473422,0.034369,0.988598,0.048357,0.106198,0.066454,0.988602,0.4417,4.69e-04
9,0.446816,0.459362,0.052349,0.990726,0.079099,0.134048,0.099490,0.990730,0.4193,4.61e-04
10,0.439366,0.483888,0.023399,0.994912,0.080640,0.031912,0.045728,0.994912,0.4394,4.52e-04
11,0.437195,0.477912,0.031663,0.994727,0.095933,0.045129,0.061382,0.994728,0.4690,4.43e-04
12,0.433985,0.481353,0.024271,0.992852,0.048280,0.046534,0.047390,0.992854,0.4286,4.32e-04
13,0.440769,0.470945,0.039195,0.994195,0.096346,0.061980,0.075433,0.994196,0.4401,4.21e-04
14,0.435372,0.462446,0.050031,0.993197,0.096881,0.093760,0.095294,0.993199,0.4293,4.09e-04
15,0.429646,0.478546,0.031236,0.995198,0.119890,0.040530,0.060579,0.995198,inf,3.97e-04
16,0.430254,0.470942,0.038024,0.990225,0.057444,0.101104,0.073263,0.990229,0.5004,3.84e-04
17,0.426351,0.468533,0.046824,0.995063,0.151476,0.063473,0.089459,0.995064,inf,3.70e-04
18,0.425147,0.476023,0.034287,0.994804,0.105782,0.048280,0.066299,0.994805,0.4842,3.56e-04
19,0.429905,0.475212,0.036439,0.994680,0.105784,0.052660,0.070316,0.994681,0.5058,3.42e-04
20,0.423971,0.471363,0.037481,0.993805,0.084454,0.063133,0.072253,0.993807,0.4939,3.27e-04
21,0.426502,0.480187,0.028305,0.995764,0.186332,0.032296,0.055051,0.995765,0.5137,3.12e-04
22,0.424013,0.467280,0.045378,0.993344,0.091249,0.082794,0.086815,0.993347,0.4952,2.97e-04
23,0.420624,0.467014,0.045990,0.995302,0.170229,0.059279,0.087936,0.995303,0.5638,2.81e-04
24,0.419978,0.462899,0.050954,0.992347,0.088303,0.107515,0.096966,0.992350,inf,2.66e-04
25,0.415327,0.484716,0.021744,0.995930,0.210213,0.023679,0.042563,0.995931,0.5683,2.50e-04
26,0.418247,0.463376,0.052847,0.994778,0.146887,0.076251,0.100388,0.994780,0.5864,2.34e-04
27,0.419045,0.457898,0.058432,0.992579,0.101881,0.120502,0.110412,0.992583,0.5796,2.19e-04
28,0.408295,0.455351,0.063949,0.994210,0.143341,0.103508,0.120211,0.994212,0.6388,2.03e-04
29,0.413416,0.455046,0.064413,0.993980,0.136897,0.108459,0.121030,0.993982,0.6846,1.88e-04
30,0.412716,0.463418,0.054028,0.994695,0.144988,0.079292,0.102517,0.994697,0.6705,1.73e-04
31,0.406675,0.465359,0.055654,0.994921,0.161222,0.078337,0.105440,0.994922,inf,1.58e-04
32,0.404181,0.462179,0.052606,0.995329,0.189443,0.067886,0.099954,0.995330,0.6981,1.44e-04
33,0.403991,0.453346,0.064640,0.993308,0.121847,0.121018,0.121431,0.993311,inf,1.30e-04
34,0.402597,0.457999,0.061296,0.994576,0.153258,0.092684,0.115511,0.994578,0.7398,1.16e-04
35,0.401681,0.457654,0.061522,0.994464,0.148685,0.094979,0.115913,0.994466,0.7279,1.03e-04
36,0.398982,0.459114,0.063250,0.994788,0.167988,0.092103,0.118975,0.994789,0.7489,9.06e-05
37,0.399582,0.455521,0.065132,0.994106,0.141890,0.107460,0.122298,0.994108,0.7162,7.89e-05
38,0.402341,0.462788,0.057387,0.995309,0.198207,0.074736,0.108544,0.995311,0.7704,6.78e-05
39,0.395709,0.450062,0.071036,0.993934,0.146240,0.121369,0.132648,0.993937,inf,5.74e-05
40,0.394589,0.455481,0.067453,0.994885,0.181959,0.096812,0.126382,0.994887,0.8066,4.77e-05
41,0.396567,0.453313,0.067899,0.994127,0.147162,0.111950,0.127163,0.994129,0.7933,3.89e-05
42,0.396927,0.455250,0.067869,0.994898,0.183588,0.097207,0.127111,0.994900,0.8110,3.09e-05
43,0.397457,0.453967,0.067373,0.994335,0.153741,0.107087,0.126241,0.994337,0.7915,2.38e-05
44,0.392047,0.454538,0.066997,0.994422,0.156607,0.104815,0.125580,0.994424,0.7793,1.76e-05
45,0.394984,0.459610,0.062956,0.995082,0.187986,0.086471,0.118454,0.995084,0.8432,1.22e-05
46,0.391416,0.458326,0.063880,0.995000,0.183362,0.089281,0.120089,0.995002,0.8495,7.85e-06
47,0.395663,0.454469,0.067209,0.994417,0.156760,0.105265,0.125952,0.994419,0.8435,4.43e-06
48,0.392930,0.454407,0.067716,0.994646,0.168325,0.101763,0.126842,0.994648,0.8524,1.97e-06
49,0.395722,0.452516,0.068907,0.994299,0.154930,0.110402,0.128930,0.994301,0.7886,4.93e-07
50,0.391247,0.454765,0.067024,0.994535,0.161635,0.102740,0.125627,0.994537,inf,0.00e+00
